Id,Sku,Title,Locations,Hybridizer,Released,Colors
1312,1312-TB,Bright And Shining Star,11-W-66,Paul Black,2020,
1313,1313-TB,But Darling,"4-W-6,  5-W-55",Schreiner,2016,
1314,1314-TB,Candy Apple Classic,11-E-22,William Maryott,1999,
1315,1315-TB,Carnival Time,11-W-49,Schreiner,1976,
1316,1316-TB,Cascadia,11-W-61,Michael Sutton,2020,
1317,1317-TB,Chillaxin,11-E-40,Schreiner,2020,
1318,1318-TB,Circus Stripes,11-W-67,Gordon Plough,1976,
1319,1319-BB,Clearly Pink,11-E-38,J.T. Aitken,2017,
1320,1320-TB,Codicil,"11-E-31,  20-E-54",Sterling Innerst,1985,
1321,1321-TB,Colorista,11-W-53,Schreiner,2020,
1322,1322-TB,Coral Charm,11-W-48,Thomas Johnson,2013,
1323,1323-TB,Cosmopoly,11-E-37,Hugh Stout,2018,
1324,1324-TB,Dance Hall Dandy,11-W-56,William Maryott,1996,
1325,1325-TB,Danger Money,11-W-60,Barry Blyth,2009,
1326,1326-TB,Dare To Return,11-E-48,Nancy Price,2016,
1327,1327-TB,Debra's Melody,11-W-51,Colin Campbell,2021,
1328,1328-TB,Desert Echo,11-W-59,Duane Meek,1980,
1329,1329-TB,Disguise,"1-E-13,  2-W-29",Thomas Johnson,2006,
1331,1331-TB,Double Click,11-W-57,Joseph Ghio,2001,
1332,1332-TB,Drama Queen,11-E-36,Keith Keppel,2003,
1333,1333-TB,Electric,"11-E-45,  12-W-68",Michael Sutton,2017,
1334,1334-TB,Electric Shock,"9-E-53,  11-E-23,  17-W-35",Virginia Messick,1996,
1335,1335-TB,Embrace Me,11-W-47,Robert Van Liere,2008,
1336,1336-TB,English Cottage,11-W-64,Lloyd Zurbrigg,1976,
1337,1337-TB,Fashion Event,"11-W-54,  C-2-2",Keith Keppel,2020,
1338,1338-TB,Feminine Fire,11-W-58,Richard Ernst,1991,
1339,1339-TB,For Lovers Only,11-E-21,Paul Black,2008,
1340,1340-TB,Foreign Accent,11-W-52,Keith Keppel,1991,
1342,1342-TB,Ginger Swirl,11-W-44,Schreiner,1985,
1343,1343-TB,Golly Gee Whiz,11-W-42,Tom  Burseen,2003,
1344,1344-TB,Got Cream,11-W-43,Jack Worel,2018,
1345,1345-TB,Grand Portage,11-W-63,Jack Worel,2018,
1346,1346-TB,Hallowed Thought,11-W-46,Lloyd Zurbrigg,1977,
1347,1347-TB,High Flying Flamingo,11-W-50,L. & K. Jedlicka,2012,
1348,1348-TB,Honky Tonk Rumble,11-W-45,Hooker Nichols,2015,
1349,1349-TB,I Do,11-E-59,Lloyd Zurbrigg,1973,
1350,1350-TB,I I Stutter,11-E-66,Douglas Kanarowski,2012,
1351,1351-TB,In Reverse,11-E-60,Joseph Gatty by Keith Keppel,1993,
1352,1352-TB,Instanbul,"8-W-25,  11-E-61,  19-W-51",Monty Byers,1990,
1353,1353-TB,Kaligazam,11-E-63,Graeme Grosvenor,2001,
1354,1354-TB,Liaison,10-W-51,Joseph Ghio,1986,
1355,1355-TB,Light Up My Life,10-W-35,L. & K. Jedlicka,2008,
1356,1356-TB,Lights Camera Action,11-E-56,Lowell Baumunk,2000,
1357,1357-TB,Main Street,10-W-18,Larry Lauer,2009,
1358,1358-TB,Making A Scene,10-W-27,Thomas Johnson,2020,
1359,1359-TB,Mammoth Orange,11-E-67,Michael Sutton,2017,
1360,1360-TB,Masterwork,11-E-62,Lloyd Zurbrigg,2001,
1361,1361-TB,Monet's Sky,10-W-42,Donald Spoon,2013,
1362,1362-TB,My Missus Carter,11-E-69,Colin Campbell,2018,
1364,1364-TB,Neanderthal,10-W-23,Jack Worel,2003,
1365,1365-TB,Neanderthal's Shadow,11-E-58,Jack Worel,2019,
1366,1366-TB,Next To Me,11-E-65,Adam Cordes,2017,
1367,1367-TB,Noche,"5-E-15,  10-W-21",Marky Smith,2020,
